game,note_user
Anna's Quest,5.0
Anno 1404,2.888888888888889
Anno 1404 Venice,3.5
Anno 2070,2.890909090909091
Anno 2205,5.0
Anno Online,2.25
Anodyne,3.0
Anomaly 2,3.8
Anomaly 2 Soundtrack,5.0
Anomaly Defenders,5.0
Anomaly Korea,5.0
Anomaly Warzone Earth,3.189189189189189
Anomaly Warzone Earth Mobile Campaign,5.0
Another Perspective,5.0
Another World,3.8
Anoxemia,4.25
Antichamber,2.9
Antisquad,5.0
Antisquad - Skirmishes DLC,5.0
Antisquad Tasks in Mexico - final. Tactics DLC,5.0
Antisquad Tasks in Mexico - the beginning. Tactics FREE DLC,5.0
Antisquad Tasks in North Korea. Tactics DLC,5.0
Antisquad Tasks near the coast of Somalia. Tactics DLC,5.0
Aperture Tag The Paint Gun Testing Initiative,3.5
Apollo4x,5.0
Apotheon,1.8
Apotheon Arena,3.2857142857142856
App Game Kit,5.0
Aqua Kitty - Milk Mine Defender,3.5
AquaNox,3.5
AquaNox 2 Revelation,5.0
Aquaria,1.8571428571428572
Arcadia,5.0
Arcane Saga Online,5.0
Arcane Worlds,5.0
ArcaniA,2.8
ArcaniA Fall of Setarrif,5.0
ArcheAge,2.225
ArcheAge Archeum Founders Pack,5.0
ArcheAge Gold Founders Pack,5.0
ArcheAge Silver Founders Pack,5.0
Archeblade,2.5084745762711864
ArchonClassic,5.0
Arctic Adventure,5.0
Arctic Combat,3.0
Arena Wars 2,5.0
Arma 2,2.435374149659864
Arma 2 British Armed Forces,5.0
Arma 2 DayZ Mod,2.2711864406779663
Arma 2 Free,1.8333333333333333
Arma 2 Operation Arrowhead,2.6296296296296298
Arma 2 Operation Arrowhead Beta (Obsolete),2.5517241379310347
Arma 2 Private Military Company,3.2857142857142856
Arma 3,2.56687898089172
Arma 3 Helicopters,5.0
Arma 3 Karts,5.0
Arma 3 Marksmen,5.0
Arma 3 Zeus,5.0
Arma Cold War Assault,2.5185185185185186
Arma Combat Operations,3.0
Arma Gold Edition,5.0
Arma Tactics,3.8
Arma X Anniversary Edition,5.0
Armada 2526,5.0
Armello,3.5
Armikrog,5.0
Arms Dealer,5.0
Arsenal of Democracy,5.0
Arson & Plunder Unleashed,5.0
ArtRage 4,5.0
ArtRage Studio Pro,5.0
Artemis Spaceship Bridge Simulator,4.0
Arx Fatalis,1.8
Ascend Hand of Kul,2.727272727272727
Ascendant,5.0
Ashes of the Singularity,5.0
Asphyxia,5.0
Assassin's Creed,3.111111111111111
Assassin's Creed Brotherhood,3.282051282051282
Assassin's Creed Freedom Cry,4.0
Assassin's Creed II,3.4915254237288136
Assassin's Creed III,2.767857142857143
Assassin's Creed IV Black Flag,2.8518518518518516
Assassin's Creed Liberation,5.0
Assassin's Creed Revelations,2.5
Assassin's Creed Rogue,5.0
Assassin's Creed Syndicate,4.0
Assassins Creed Chronicles China,3.5
Assassins Creed Unity,3.176470588235294
Assault Android Cactus,3.5
Assetto Corsa,3.0555555555555554
Assetto Corsa - Dream Pack 1,5.0
Astebreed,3.5
Asteria,5.0
Asteroids Outpost,5.0
Astray,5.0
Astro Lords,3.5
Astro Tripper,5.0
AstroPop Deluxe,5.0
Atari 80 Classic Games in One!,5.0
Atlantica Online,5.0
Atom Zombie Smasher ,3.0526315789473686
Attrition Nuclear Domination,5.0
Audiosurf,2.575
Audiosurf 2,3.142857142857143
Audition Online,1.8
Auditorium,3.5
Aura Fate of the Ages,3.0
Aura Kingdom,2.8048780487804876
Aura Kingdom - Winter Gift,5.0
Autobahn Police Simulator,5.0
Autocraft,5.0
Automation - The Car Company Tycoon Game,5.0
Avadon 2 The Corruption,5.0
Avadon The Black Fortress,3.0
Avencast,5.0
Avernum 2 Crystal Souls,5.0
Avernum 4,5.0
Avernum 5,5.0
Avernum 6,5.0
Avernum Escape From the Pit,4.0
Aveyond 3-1 Lord of Twilight,5.0
Aveyond 3-2 Gates of Night,5.0
Avoid Sensory Overload,5.0
Awesomenauts,2.3970588235294117
Axel & Pixel,5.0
Axiom Verge,3.5
Axiom Verge Original Soundtrack,5.0
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,5.0
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,5.0
Axis Game Factory's AGFPRO 3.0,1.8
Azure Striker Gunvolt,5.0
B.U.T.T.O.N.,5.0
BAD END,5.0
BEEP,3.5
BIT.TRIP BEAT,3.3846153846153846
BIT.TRIP CORE,5.0
BIT.TRIP FATE,5.0
BIT.TRIP FATE Original Soundtrack,5.0
BIT.TRIP FLUX,5.0
BIT.TRIP FLUX Soundtrack,5.0
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,2.576923076923077
BIT.TRIP RUNNER,2.8
BIT.TRIP VOID,5.0
BLOCKADE 3D,2.625
BRAINPIPE A Plunge to Unhumanity,3.0
BRINK,2.84375
Babel Rising,5.0
Back to Bed,5.0
Back to Dinosaur Island ,1.8571428571428572
Back to the Future Ep 1 - It's About Time,4.181818181818182
Back to the Future Ep 2 - Get Tannen!,4.0
Back to the Future Ep 3 - Citizen Brown,5.0
Back to the Future Ep 4 - Double Visions,5.0
Back to the Future Ep 5 - OUTATIME,5.0
Bad Hotel,5.0
Bad Mojo Redux,5.0
Bad Rats,3.3076923076923075
Badland Bandits,5.0
Baldur's Gate Enhanced Edition,2.0869565217391304
Baldur's Gate II Enhanced Edition,1.8888888888888888
Ballad of Solar,5.0
